name,T,seed,policy,dmr_mean_x,dmr_mean_mid_x,gap_mean_x,gap_mean_mid,wdmr_gap_auc,wdmr_gap_auc_mid,wdmr_gap_mean,wdmr_gap_mean_mid,void_auc,ttr,gap_mean_y,dmr_mean_y,dmr_mean_mid_y
GRID_ace_T50_seed12_d0_B3,50,12,ACE,0.2147904761904762,0.21047619047619043,0.22743774999999997,0.21439999999999998,2.5211656726190474,0.8999865476190474,0.05042331345238095,0.044999327380952366,11.9919625,16.0,0.22743775,0.2147904761904762,0.3068435374149659
GRID_ace_T50_seed12_d0_B5,50,12,ACE,0.1698285714285714,0.18190476190476187,0.22601224999999997,0.211916875,1.8964766845238092,0.7700563095238094,0.037929533690476185,0.03850281547619047,11.3821375,9.0,0.22601225,0.1698285714285714,0.2426122448979591
GRID_ace_T50_seed12_d2_B1,50,12,ACE,0.5477904761904762,0.7428095238095238,0.22963599999999995,0.22942187499999997,6.276823702380952,3.3828057857142855,0.12553647404761903,0.16914028928571428,10.669575,24.0,0.229636,0.5477904761904763,0.7597006802721088
GRID_ace_T50_seed12_d2_B3,50,12,ACE,0.3345714285714286,0.33726190476190476,0.2307955,0.211519375,3.934543020833333,1.4185214583333332,0.07869086041666666,0.07092607291666667,11.842175,17.0,0.2307955,0.3345714285714286,0.4779591836734693
GRID_ace_T50_seed12_d2_B5,50,12,ACE,0.28786666666666666,0.28166666666666673,0.23470999999999997,0.24326250000000002,3.315037,1.3769452083333331,0.06630074,0.06884726041666665,11.540775,13.0,0.23471,0.2878666666666667,0.4112380952380953
GRID_ace_T50_seed12_d5_B1,50,12,ACE,0.7095666666666667,0.851,0.23313324999999996,0.24711249999999998,8.427667604166665,4.2121224999999995,0.1685533520833333,0.21060612499999998,10.6495875,17.0,0.23313325,0.7095666666666665,0.8272380952380952
GRID_ace_T50_seed12_d5_B3,50,12,ACE,0.45839523809523813,0.5839047619047619,0.22954749999999996,0.22227562499999992,5.422059145833334,2.5502753958333333,0.10844118291666667,0.12751376979166668,11.3811,22.0,0.2295475,0.4583952380952381,0.6548503401360544
GRID_ace_T50_seed12_d5_B5,50,12,ACE,0.37229047619047617,0.41089285714285717,0.23092549999999995,0.23107437499999994,4.4469822232142855,1.9099295982142857,0.0889396444642857,0.09549647991071428,11.796325,20.0,0.2309255,0.3722904761904761,0.5318435374149659
GRID_ace_T50_seed13_d0_B1,50,13,ACE,0.36574761904761904,0.3885357142857143,0.3216545,0.32554374999999997,5.547052953869047,2.487369308035714,0.11094105907738093,0.1243684654017857,9.881675,19.0,0.3216544999999999,0.365747619047619,0.5224965986394559
GRID_ace_T50_seed13_d0_B3,50,13,ACE,0.2664095238095238,0.2795238095238095,0.33537599999999995,0.36329812499999997,4.261433386904762,2.039746011904762,0.08522866773809523,0.10198730059523811,9.736825,15.0,0.3353759999999999,0.2664095238095238,0.3805850340136054
GRID_ace_T50_seed13_d0_B5,50,13,ACE,0.14159999999999998,0.08999999999999998,0.35218649999999996,0.38545312499999995,2.1945257499999995,0.6906649999999998,0.04389051499999999,0.03453324999999999,9.5484,5.0,0.3521865,0.1416,0.2022857142857143
GRID_ace_T50_seed13_d2_B1,50,13,ACE,0.5608761904761905,0.7588571428571429,0.29878024999999997,0.279786875,8.002294928571427,4.262705761904762,0.16004589857142854,0.2131352880952381,9.5184875,25.0,0.29878025,0.5608761904761905,0.7726802721088436
GRID_ace_T50_seed13_d2_B3,50,13,ACE,0.3188952380952381,0.35890476190476195,0.3393065,0.357879375,5.187037309523809,2.5666251220238094,0.10374074619047619,0.1283312561011905,9.649349999999998,15.0,0.3393064999999999,0.3188952380952381,0.4555646258503401
GRID_ace_T50_seed13_d2_B5,50,13,ACE,0.2798952380952381,0.2560714285714286,0.33687425,0.346491875,4.471489309523809,1.7575813095238095,0.08942978619047619,0.08787906547619047,9.3458375,23.0,0.33687425,0.2798952380952381,0.3998503401360544
GRID_ace_T50_seed13_d5_B1,50,13,ACE,0.7483833333333334,0.9278333333333336,0.29134699999999997,0.2975675,10.996867052083333,5.579495958333333,0.21993734104166665,0.2789747979166666,8.864875000000001,14.0,0.2913469999999999,0.7483833333333334,0.8730476190476192
GRID_ace_T50_seed13_d5_B3,50,13,ACE,0.4022476190476191,0.430202380952381,0.32603249999999995,0.309104375,6.186440845238095,2.519442407738095,0.1237288169047619,0.12597212038690475,9.5818,20.0,0.3260324999999999,0.4022476190476191,0.5746394557823129
GRID_ace_T50_seed13_d5_B5,50,13,ACE,0.37156190476190476,0.40523809523809523,0.32901624999999995,0.33102062499999996,5.86098369047619,2.670462857142857,0.1172196738095238,0.13352314285714284,9.6167375,14.0,0.3290162499999999,0.3715619047619047,0.5308027210884353
GRID_dcas_T50_seed11_d0_B1,50,11,DCAS,0.4468809523809524,0.5255357142857143,0.37778975,0.384836875,7.269323842261904,3.9039638422619043,0.1453864768452381,0.19519819211309522,10.0409375,12.0,0.37778975,0.4468809523809524,0.6384013605442176
GRID_dcas_T50_seed11_d0_B3,50,11,DCAS,0.29100000000000004,0.29750000000000004,0.39961599999999997,0.42184937499999997,4.995548160714286,2.5076328273809523,0.09991096321428572,0.12538164136904761,9.82805,21.0,0.399616,0.291,0.4157142857142857
GRID_dcas_T50_seed11_d0_B5,50,11,DCAS,0.15893333333333332,0.1333333333333333,0.39588674999999995,0.41798062499999994,2.5486437499999997,1.1078887499999996,0.050972874999999994,0.05539443749999997,9.8255875,14.0,0.39588675,0.1589333333333333,0.227047619047619
GRID_dcas_T50_seed11_d2_B1,50,11,DCAS,0.566452380952381,0.8048809523809524,0.3636705,0.33561562499999986,9.094353328869047,5.3506341101190475,0.18188706657738096,0.26753170550595234,10.81855,8.0,0.3636705,0.566452380952381,0.8027891156462584
GRID_dcas_T50_seed11_d2_B3,50,11,DCAS,0.3837904761904762,0.42880952380952386,0.39407925,0.414279375,6.631006669642857,3.524955357142857,0.13262013339285714,0.17624776785714286,10.2472125,5.0,0.39407925,0.3837904761904762,0.5482721088435375
GRID_dcas_T50_seed11_d2_B5,50,11,DCAS,0.3034476190476191,0.33261904761904765,0.39238924999999997,0.422033125,5.230529675595237,2.815491592261905,0.10461059351190474,0.14077457961309522,9.9898125,6.0,0.39238925,0.3034476190476191,0.4334965986394558
