name,T,seed,policy,dmr_mean_x,dmr_mean_mid_x,gap_mean_x,gap_mean_mid,wdmr_gap_auc,wdmr_gap_auc_mid,wdmr_gap_mean,wdmr_gap_mean_mid,void_auc,ttr,gap_mean_y,dmr_mean_y,dmr_mean_mid_y
GRID_random_T50_seed11_d2_B1,50,11,RANDOM,0.5576857142857142,0.7217142857142856,0.3773095,0.404428125,9.781581898809524,5.812757523809523,0.1956316379761905,0.2906378761904761,9.31735,12.0,0.3773095,0.5576857142857143,0.7438367346938777
GRID_random_T50_seed11_d2_B3,50,11,RANDOM,0.3916380952380953,0.4605952380952381,0.3847045,0.3981049999999999,6.887572101190476,3.665821059523809,0.1377514420238095,0.1832910529761904,9.0204,29.0,0.3847045,0.3916380952380953,0.5594829931972789
GRID_random_T50_seed11_d5_B1,50,11,RANDOM,0.5950285714285715,0.768404761904762,0.3834014999999999,0.3917168749999999,10.819362767857143,5.972911517857143,0.2163872553571428,0.2986455758928571,9.250725,39.0,0.3834014999999999,0.5950285714285716,0.7800408163265306
GRID_random_T50_seed11_d5_B3,50,11,RANDOM,0.4294261904761904,0.532732142857143,0.3916115,0.4068449999999999,7.868740043154761,4.3341710848214285,0.1573748008630952,0.2167085542410714,9.2669,24.0,0.3916114999999999,0.4294261904761904,0.6134659863945578
GRID_random_T50_seed12_d2_B1,50,12,RANDOM,0.5147738095238096,0.6354761904761906,0.2642,0.284599375,6.82879140625,3.6391308333333336,0.136575828125,0.1819565416666666,10.901775,14.0,0.2642,0.5147738095238096,0.690748299319728
GRID_random_T50_seed12_d2_B3,50,12,RANDOM,0.3828809523809524,0.4563690476190477,0.2438827499999999,0.2438337499999999,4.911679494047618,2.2687048065476185,0.0982335898809523,0.1134352403273809,12.0313125,15.0,0.2438827499999999,0.3828809523809524,0.5469727891156462
GRID_random_T50_seed12_d5_B1,50,12,RANDOM,0.5473880952380953,0.6903452380952382,0.25348275,0.2870624999999999,7.109605581845238,4.003039904761905,0.1421921116369047,0.2001519952380952,10.4671125,18.0,0.25348275,0.5473880952380952,0.7259115646258504
GRID_random_T50_seed12_d5_B3,50,12,RANDOM,0.3995833333333333,0.438125,0.2412202499999999,0.2232531249999999,4.822157895833333,1.9206776875,0.0964431579166666,0.0960338843749999,11.7419625,15.0,0.24122025,0.3995833333333333,0.5708333333333333
GRID_random_T50_seed13_d2_B1,50,13,RANDOM,0.5148333333333334,0.6637500000000001,0.3362294999999999,0.3615556249999999,8.679076791666667,4.868800229166666,0.1735815358333333,0.2434400114583332,9.453725,20.0,0.3362294999999999,0.5148333333333334,0.7069047619047619
GRID_random_T50_seed13_d2_B3,50,13,RANDOM,0.3633904761904762,0.3934761904761905,0.33375225,0.355021875,5.66149569345238,2.8030748601190476,0.1132299138690476,0.1401537430059523,9.7670375,19.0,0.33375225,0.3633904761904762,0.5191292517006802
GRID_random_T50_seed13_d5_B1,50,13,RANDOM,0.5449285714285714,0.7119047619047619,0.3388497499999999,0.37382875,9.206984394345238,5.317972571428571,0.1841396878869047,0.2658986285714285,9.6683375,16.0,0.33884975,0.5449285714285714,0.7391836734693877
GRID_random_T50_seed13_d5_B3,50,13,RANDOM,0.4091333333333333,0.4649166666666666,0.3402545,0.3654337499999999,6.627928663690475,3.3975508511904757,0.1325585732738095,0.1698775425595238,8.890625000000002,21.0,0.3402545,0.4091333333333333,0.5830476190476191
