name,tr_gap,tr_global_acc,tr_round,tr_seen_acc,tr_void_acc
GRID_ace_T50_seed11_d5_B1,0.19835,0.1003,8,0.1162,0.106075
GRID_ace_T50_seed11_d5_B1,0.2579749999999999,0.1048,9,0.26705,0.15055
GRID_ace_T50_seed11_d5_B1,0.29185,0.1009,10,0.2896999999999999,0.1433249999999999
GRID_ace_T50_seed11_d5_B1,0.34545,0.1164,11,0.3718,0.159925
GRID_ace_T50_seed11_d5_B1,0.3841124999999999,0.1879,12,0.4369499999999999,0.1703875
GRID_ace_T50_seed11_d5_B1,0.3943875,0.2402,13,0.45325,0.1746875
GRID_ace_T50_seed11_d5_B1,0.3200375,0.1502,14,0.25075,0.1559375
GRID_ace_T50_seed11_d5_B1,0.344975,0.186,15,0.35535,0.19285
GRID_ace_T50_seed11_d5_B1,0.34865,0.2092,16,0.4152,0.1992
GRID_ace_T50_seed11_d5_B1,0.3953,0.259,17,0.472,0.20775
GRID_ace_T50_seed11_d5_B1,0.398725,0.3539,18,0.5026999999999999,0.213325
GRID_ace_T50_seed11_d5_B1,0.4238375,0.4103,19,0.5203999999999999,0.2124625
GRID_ace_T50_seed11_d5_B1,0.2138625,0.1412,20,0.3010499999999999,0.1713625
GRID_ace_T50_seed11_d5_B1,0.203125,0.1296,21,0.3189499999999999,0.1674499999999999
GRID_ace_T50_seed11_d5_B1,0.268275,0.2694,22,0.47885,0.2240999999999999
GRID_ace_T50_seed11_d5_B1,0.320825,0.2921,23,0.4811999999999999,0.2117
GRID_ace_T50_seed11_d5_B1,0.379675,0.4196,24,0.52505,0.2223
GRID_ace_T50_seed11_d5_B1,0.33555,0.4163,25,0.4942999999999999,0.2203
GRID_ace_T50_seed11_d5_B1,0.3330499999999999,0.1637,26,0.38595,0.1927
GRID_ace_T50_seed11_d5_B1,0.339425,0.163,27,0.3894999999999999,0.1655
GRID_ace_T50_seed11_d5_B1,0.410875,0.2597,28,0.46695,0.1807
GRID_ace_T50_seed11_d5_B1,0.3998,0.2916,29,0.5082,0.2112
GRID_ace_T50_seed11_d5_B1,0.419125,0.375,30,0.5239,0.2084
GRID_ace_T50_seed11_d5_B1,0.413725,0.4158,31,0.5138,0.206175
GRID_ace_T50_seed11_d5_B1,0.1483249999999999,0.1031,32,0.22675,0.1466249999999999
GRID_ace_T50_seed11_d5_B1,0.2299124999999999,0.1198,33,0.35645,0.1776375
GRID_ace_T50_seed11_d5_B1,0.3869125,0.3549,34,0.5205,0.2154375
GRID_ace_T50_seed11_d5_B1,0.386075,0.4009,35,0.5522,0.25245
GRID_ace_T50_seed11_d5_B1,0.410325,0.3728,36,0.5186999999999999,0.2283249999999999
GRID_ace_T50_seed11_d5_B1,0.4264875,0.4107,37,0.55715,0.2470875
GRID_ace_T50_seed11_d5_B1,0.403775,0.2736,38,0.41905,0.1923
