name,tr_gap,tr_global_acc,tr_round,tr_seen_acc,tr_void_acc
PAPER_ace_T50_seed13_d5_B3,0.32831249999999995,0.385,28,0.40785,0.1977875
PAPER_ace_T50_seed13_d5_B3,0.336375,0.3917,29,0.4002,0.191075
PAPER_ace_T50_seed13_d5_B3,0.4034625,0.3689,30,0.43129999999999996,0.2437375
PAPER_ace_T50_seed13_d5_B3,0.324725,0.3069,31,0.41985,0.2331
PAPER_ace_T50_seed13_d5_B3,0.41446249999999996,0.315,32,0.40975,0.23206249999999998
PAPER_ace_T50_seed13_d5_B3,0.41598749999999995,0.3453,33,0.43,0.2455625
PAPER_ace_T50_seed13_d5_B3,0.3501625,0.3875,34,0.43545,0.2237625
PAPER_ace_T50_seed13_d5_B3,0.37506249999999997,0.3234,35,0.42935000000000006,0.21028750000000002
PAPER_ace_T50_seed13_d5_B3,0.33406250000000004,0.4134,36,0.43620000000000003,0.2293875
PAPER_ace_T50_seed13_d5_B3,0.3706375,0.407,37,0.4549499999999999,0.24013749999999998
PAPER_ace_T50_seed13_d5_B3,0.36143749999999997,0.4019,38,0.44205000000000005,0.22636250000000002
PAPER_ace_T50_seed13_d5_B3,0.3624625,0.439,39,0.45,0.2300625
PAPER_ace_T50_seed13_d5_B3,0.3629,0.4197,40,0.46055,0.250675
PAPER_ace_T50_seed13_d5_B3,0.372125,0.4307,41,0.4527,0.234825
PAPER_ace_T50_seed13_d5_B3,0.3817875,0.3849,42,0.42675,0.2385625
PAPER_ace_T50_seed13_d5_B3,0.35875,0.4204,43,0.44415000000000004,0.22840000000000002
PAPER_ace_T50_seed13_d5_B3,0.3287875,0.4547,44,0.4730500000000001,0.26136249999999994
PAPER_ace_T50_seed13_d5_B3,0.38847499999999996,0.4372,45,0.46385000000000004,0.24209999999999998
PAPER_ace_T50_seed13_d5_B3,0.34873750000000003,0.4703,46,0.49929999999999997,0.3026125
PAPER_ace_T50_seed13_d5_B3,0.37,0.4634,47,0.48064999999999997,0.260275
PAPER_ace_T50_seed13_d5_B3,0.37,0.5078,48,0.47350000000000003,0.25325
PAPER_ace_T50_seed13_d5_B3,0.37026250000000005,0.497,49,0.46014999999999995,0.2339625
PAPER_dcas_T50_seed11_d5_B3,0.2424125,0.1251,0,0.22110000000000002,0.08291250000000001
PAPER_dcas_T50_seed11_d5_B3,0.2735875,0.2053,1,0.25175000000000003,0.10106249999999999
PAPER_dcas_T50_seed11_d5_B3,0.2963625,0.2748,2,0.31070000000000003,0.1282625
PAPER_dcas_T50_seed11_d5_B3,0.3007875,0.2984,3,0.30870000000000003,0.1300125
